danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,track_names,artist_names,happy,genre
0.813,0.64,2,-5.908,1,0.272,0.269,0,0.131,0.488,92.989,147076,4,Jolie nana,['Aya Nakamura'],1,Alternative
0.729,0.788,10,-4.832,0,0.0908,0.0703,0,0.115,0.857,118.039,159536,4,Say My Name,"['Dimitri Vegas & Like Mike', 'Regard', 'Dimitri Vegas']",1,house
0.624,0.628,4,-6.582,0,0.0408,0.0112,0.0191,0.0814,0.772,114.556,147071,4,Let Me Move You - From the Netflix film Work It,['Sabrina Carpenter'],1,pop
0.66,0.755,0,-4.501,0,0.0469,0.0876,0,0.102,0.862,145.948,156368,4,NIGHTRIDER,['Arizona Zervas'],1,pop
0.789,0.711,2,-4.248,1,0.041,0.0332,0,0.0876,0.753,112.985,190306,4,Take You Dancing,['Jason Derulo'],1,pop
0.75,0.664,8,-5.908,0,0.154,0.275,0,0.0632,0.617,105.023,208156,4,What's Love Got to Do with It,"['Kygo', 'Tina Turner']",1,pop
0.712,0.676,5,-5.965,1,0.184,0.076,0,0.0669,0.648,106.156,213597,4,Holiday,['Little Mix'],1,pop
0.734,0.874,8,-3.158,1,0.0662,0.168,1.14E-05,0.0489,0.905,122.953,166028,4,Head & Heart (feat. MNEK),"['Joel Corry', 'MNEK']",1,house
0.783,0.912,0,-3.713,1,0.243,0.0238,0,0.339,0.749,98.025,166898,4,Smile,['Katy Perry'],1,pop
0.706,0.602,6,-8.502,1,0.0465,0.0717,0.161,0.0947,0.563,99.987,167471,4,This Summer,"['Junge Junge', 'Will Church']",1,house
0.566,0.768,2,-4.458,0,0.0312,0.0127,0,0.115,0.638,100.005,138733,4,Don't You Wanna Play?,"['Seeb', 'Julie Bergan']",1,pop
0.526,0.818,3,-5.952,1,0.0358,0.0587,0,0.333,0.896,171.96,185098,4,Somebody To You,['The Vamps'],1,pop
0.736,0.669,1,-8.305,1,0.136,0.107,0,0.224,0.797,86.531,172023,4,Hello Hello Hello,['Remi Wolf'],1,r&b
0.71,0.891,0,-3.116,0,0.0749,0.0313,0,0.365,0.705,125.024,192573,4,Heaven On My Mind (with Sigala),"['Becky Hill', 'Sigala']",1,pop
0.619,0.557,10,-7.461,1,0.0433,0.0436,0,0.112,0.378,74.007,210227,4,My Way,['Aloe Blacc'],1,r&b
0.758,0.583,1,-6.361,1,0.0421,0.18,5.12E-05,0.107,0.797,97.537,177438,4,Girlfriend,['Charlie Puth'],1,pop
0.581,0.799,3,-6.66,1,0.164,0.0419,9.43E-06,0.11,0.662,124.002,175016,4,Alane,"['Robin Schulz', 'Wes']",1,house
0.894,0.635,2,-6.929,1,0.0473,0.193,0.00105,0.0823,0.428,105.013,249143,4,MAMACITA,"['Black Eyed Peas', 'Ozuna', 'J. Rey Soul']",1,pop
0.677,0.766,6,-6.896,1,0.0568,0.0219,6.81E-06,0.129,0.198,123.062,190488,4,Lovefool,['twocolors'],1,house
0.676,0.525,9,-5.88,1,0.028,0.617,0,0.356,0.421,112.011,210000,4,Mariposa,['Peach Tree Rascals'],1,r&b
0.795,0.48,3,-8.556,1,0.0688,0.243,0,0.271,0.723,149.919,171375,4,Savage Love (Laxed - Siren Beat),"['Jawsh 685', 'Jason Derulo']",1,pop
0.745,0.534,11,-10.815,0,0.102,0.179,0.0399,0.202,0.655,102.996,178835,4,Shampoo,['Benjamin Ingrosso'],1,pop
0.66,0.667,11,-6.87,1,0.0474,0.141,5.26E-05,0.107,0.452,114.901,194235,4,Take Care of You,['Ella Henderson'],1,pop
0.569,0.536,1,-6.137,1,0.0819,0.554,0,0.0655,0.656,173.695,209833,4,Learn To Fly,"['Surfaces', 'Elton John']",1,rock
0.73,0.792,6,-5.33,0,0.13,0.0264,0,0.101,0.745,99.039,170158,4,Dance with Me (feat. Thomas Rhett & Young Thug),"['Diplo', 'Thomas Rhett', 'Young Thug']",1,country
0.708,0.758,7,-4.453,1,0.0367,0.0133,1.04E-05,0.418,0.272,101.017,205200,4,Little Bit Of Love - Indian Summer Remix,"['JP Cooper', 'Mark Ralph']",1,pop
0.521,0.877,7,-5.444,1,0.0683,0.0132,0.0806,0.0929,0.199,180.007,205208,4,Together,['Sia'],1,pop
0.797,0.791,11,-4.198,1,0.0432,0.000679,0.00751,0.0678,0.589,126.004,156960,4,ily (i love you baby) (Topic Remix) [feat. Emilee],"['Surf Mesa', 'Topic', 'Emilee']",1,house
0.871,0.341,3,-8.932,0,0.0576,0.0311,0.000124,0.0838,0.612,127.001,173386,4,Think About Things,['Daði Freyr'],1,pop
